1 1:18.000000 2:240.000000 3:102.944887 4:0.200520 5:6.925110 6:4.806576 7:5.631493 8:4.783854 9:6.265396 10:4.576139 11:4.311764 12:4.545476 13:4.749462 14:1.409628 15:1.558324 16:0.860235 17:1.397156 18:0.884202 19:4.431055 20:5819.875393 21:0.935668
1 1:18.000000 2:250.000000 3:122.932843 4:0.094641 5:5.407773 6:5.150383 7:4.841045 8:6.047691 9:4.869652 10:5.573937 11:4.167251 12:6.179561 13:5.566153 14:1.226181 15:1.569803 16:0.847260 17:1.225188 18:1.069145 19:4.839454 20:13466.879072 21:0.951901
1 1:17.000000 2:237.000000 3:133.127724 4:0.212560 5:8.755783 6:5.506557 7:4.258413 8:4.188099 9:2.799937 10:3.522775 11:4.841541 12:4.780051 13:7.136310 14:1.368101 15:1.565671 16:0.822823 17:1.373226 18:0.945544 19:4.374196 20:120065.587912 21:0.924351
1 1:11.000000 2:240.000000 3:163.071910 4:0.166355 5:6.291880 6:1.490058 7:2.916097 8:5.875613 9:7.421841 10:4.121969 11:6.387011 12:4.403749 13:5.589486 14:1.567684 15:1.565915 16:1.535825 17:1.569027 18:0.036737 19:4.164163 20:132411.987956 21:0.903362
1 1:18.000000 2:249.000000 3:129.320379 4:0.082354 5:5.358176 6:4.227237 7:4.996412 8:5.568883 9:6.117076 10:5.124306 11:5.644223 12:6.481235 13:5.312833 14:1.213285 15:1.569097 16:0.888267 17:1.214985 18:1.038341 19:4.699771 20:9796.227872 21:0.948998
1 1:18.000000 2:246.000000 3:110.840788 4:0.151112 5:5.731416 6:3.958027 7:3.153332 8:4.329630 9:7.071254 10:6.110698 11:4.343479 12:4.116169 13:6.095284 14:1.560151 15:1.563723 16:0.248334 17:1.567224 18:1.318891 19:4.579101 20:10639.760990 21:0.945286
1 1:17.000000 2:236.000000 3:167.516456 4:0.205540 5:7.390522 6:4.218285 7:3.364361 8:3.560777 9:5.833190 10:3.888334 11:3.606610 12:5.220439 13:7.610114 14:1.465293 15:1.558431 16:1.348287 17:1.452928 18:0.340378 19:4.413736 20:120935.855102 21:0.917774
-1 1:11.000000 2:248.000000 3:131.839801 4:0.167595 5:7.534623 6:4.339556 7:4.534378 8:3.350946 9:4.986887 10:4.782297 11:3.764575 12:4.487593 13:7.507501 14:1.527223 15:1.522067 16:0.530426 17:1.565640 18:1.035214 19:5.188462 20:76546.254817 21:0.950399
-1 1:18.000000 2:199.000000 3:154.060076 4:0.235098 5:6.066148 6:6.480691 7:5.838899 8:5.667134 9:5.693527 10:5.032668 11:4.077981 12:3.910768 13:5.867855 14:1.561127 15:1.552818 16:1.533939 17:1.562488 18:0.045167 19:3.797819 20:95426.112837 21:0.883280
1 1:11.000000 2:230.000000 3:117.846719 4:0.163925 5:6.826376 6:3.581352 7:5.998040 8:5.246384 9:5.344972 10:4.467302 11:4.657456 12:5.042837 13:6.809388 14:1.258158 15:1.561640 16:0.799685 17:1.267315 18:1.074592 19:5.563601 20:34028.610866 21:0.971492
1 1:18.000000 2:249.000000 3:94.692799 4:0.162579 5:5.991465 6:3.176501 7:5.928674 8:5.036730 9:7.373828 10:5.824202 11:4.665555 12:1.490036 13:5.577648 14:1.561627 15:1.564566 16:1.397290 17:1.567858 18:0.176445 19:4.097885 20:17108.156234 21:0.905108
1 1:18.000000 2:218.000000 3:173.803757 4:0.041192 5:5.552344 6:3.568780 7:2.945865 8:6.267991 9:8.295605 10:4.803202 11:5.669697 12:3.873184 13:5.184622 14:1.380406 15:1.527259 16:0.628380 17:1.336868 18:1.176345 19:3.952749 20:163439.031024 21:0.898257
1 1:14.000000 2:237.000000 3:105.055290 4:0.095889 5:5.459006 6:6.433657 7:5.000535 8:4.063624 9:4.257761 10:5.238050 11:4.978011 12:6.058592 13:6.353225 14:1.168929 15:1.544216 16:0.836984 17:1.162260 18:1.142348 19:5.518365 20:25230.284372 21:0.971155
-1 1:18.000000 2:226.000000 3:87.825157 4:0.217603 5:7.040318 6:3.754992 7:3.720257 8:4.753786 9:4.909621 10:4.926067 11:5.066341 12:4.791788 13:6.412401 14:1.510417 15:1.569408 16:0.334427 17:1.511806 18:1.295360 19:4.522950 20:5026.285706 21:0.940149
-1 1:17.000000 2:233.000000 3:110.265622 4:0.210172 5:6.572753 6:5.356131 7:5.724358 8:4.068351 9:5.663839 10:4.127905 11:4.886618 12:3.780227 13:6.835971 14:1.494342 15:1.547724 16:0.643317 17:1.471269 18:1.027006 19:4.456050 20:60330.602900 21:0.909052
1 1:10.000000 2:192.000000 3:101.595073 4:0.207863 5:5.395019 6:4.014958 7:4.885245 8:6.126360 9:5.734810 10:5.332465 11:4.356303 12:4.410042 13:7.247238 14:1.565544 15:1.566439 16:1.557083 17:1.569902 18:0.012812 19:4.669581 20:50748.125485 21:0.938572
1 1:16.000000 2:201.000000 3:56.228798 4:0.072023 5:6.087671 6:4.340790 7:5.327514 8:5.075115 9:7.089230 10:3.921380 11:3.434691 12:4.508358 13:7.043071 14:1.378628 15:1.550991 16:0.829645 17:1.358823 18:0.953124 19:3.949624 20:9165.908874 21:0.883883
1 1:18.000000 2:208.000000 3:112.214393 4:0.107941 5:6.519626 6:5.786346 7:6.358062 8:4.763219 9:5.407437 10:3.915730 11:4.643614 12:4.546232 13:6.037815 14:1.332095 15:1.563686 16:0.672783 17:1.324985 18:1.143824 19:4.633344 20:31166.152202 21:0.938932
1 1:18.000000 2:199.000000 3:132.170640 4:0.109176 5:7.625078 6:6.959043 7:3.546745 8:3.674263 9:4.179513 10:2.629853 11:3.974934 12:3.697384 13:7.836413 14:1.209480 15:1.564206 16:0.871002 17:1.202890 18:1.067701 19:4.343957 20:76944.967672 21:0.938881
1 1:11.000000 2:174.000000 3:94.305847 4:0.164776 5:6.191696 6:5.373585 7:5.351623 8:4.430914 9:3.721076 10:2.772761 11:4.192701 12:6.382543 13:7.013890 14:1.287719 15:1.535016 16:0.732697 17:1.251939 18:1.156957 19:3.794789 20:41637.864618 21:0.883064
1 1:14.000000 2:229.000000 3:127.981859 4:0.183712 5:4.815687 6:4.529188 7:4.818046 8:4.614793 9:5.080931 10:3.966136 11:5.361248 12:7.066727 13:7.184691 14:1.512561 15:1.557077 16:0.780456 17:1.498841 18:0.862296 19:4.388474 20:72928.782705 21:0.928122
1 1:9.000000 2:218.000000 3:110.880126 4:0.137990 5:6.946384 6:4.727749 7:5.328146 8:5.264832 9:6.042381 10:3.157015 11:2.994310 12:4.227830 13:7.328345 14:1.438228 15:1.564033 16:0.740310 17:1.431464 18:0.969819 19:4.067117 20:64867.709888 21:0.902893
